silhouette,calinski_harabasz,davies_bouldin,dunn,k,silhouette_improvement,calinski_improvement,dunn_improvement,davies_bouldin_improvement,silhouette_improvement_norm,calinski_improvement_norm,davies_bouldin_improvement_norm,dunn_improvement_norm,improvement_composite_score,silhouette_norm,calinski_norm,davies_bouldin_norm,dunn_norm,absolute_composite_score
0.4561274554141158,5431.5204164673905,0.7864776396411394,0.004757089654837644,35,0.0010347767661442742,-6.047720796631438,0.00025917493102795355,0.01022789154326842,0.6397046781489927,0.1625859823673631,0.5122276823672003,0.6501332146333,0.49116288937921404,0.7280637277070579,0.7502289676962712,0.3407235496650397,0.5013182387089881,0.5800836209443392
0.4507815062973514,5458.468173734035,0.7707573248180847,0.004757089654837644,36,-0.0053459491167643924,26.947757266644658,0.0,0.015720314823054693,0.5575015868311639,0.19745476583033744,0.5847121068808724,0.0,0.3349171148855934,0.7253907531486757,0.7709429309784396,0.5434164705204623,0.5013182387089881,0.6352670983391414
0.45138171269782623,5360.46681531147,0.760700864123798,0.004875965669521415,37,0.000600206400474812,-98.00135842256532,0.00011887601468377109,0.010056460694286673,0.6341060945225065,0.06541171282464911,0.5099652809098939,0.2981972263390698,0.3769200786490298,0.7256908563489131,0.6956121151379571,0.6730813922816556,0.5417720798483355,0.6590391109042153
0.45027435651550024,5249.620894462565,0.7471531692505381,0.004999882568530944,38,-0.0011073561823259914,-110.84592084890483,0.0001239168990095291,0.013547694873259908,0.612107512307767,0.05183790537558621,0.5560396796614746,0.3108421465800101,0.3827068109812095,0.7251371782577501,0.6104080548622487,0.847761217439603,0.5839413480589766,0.6918119496546447
0.4473494062679469,5285.166137040357,0.745518318632276,0.005027009947341003,39,-0.0029249502475533484,35.54524257779212,2.7127378810058896e-05,0.0016348506182620737,0.5886913910600512,0.20654037001723852,0.3988238905356728,0.06804828661633429,0.31552598455732417,0.7236747031339734,0.6377306569744292,0.8688404802093191,0.5931728711364309,0.7058546778635382
0.4466259870940044,5162.721544639007,0.735345940956487,0.0051507406829239865,40,-0.0007234191739424745,-122.44459240134984,0.00012373073558298326,0.010172377675789046,0.6170537848071049,0.03958072376891942,0.5114950566149973,0.31037516072428956,0.36962618147882775,0.7233129935470022,0.5436110326210877,1.0,0.6352787874109941,0.725550703394771
0.4450912717926144,5177.237889713155,0.7485261359236806,0.0052201384233581,41,-0.0015347153013900439,14.516345074147466,6.939774043411388e-05,-0.013180194967193581,0.6066018313970687,0.18431756505852584,0.20330726723431664,0.1740823307939902,0.29207724862097534,0.7225456358963072,0.5547693281290171,0.8300586059875557,0.6588950330802272,0.6915671507732768
0.4238620172099609,5352.483284340252,0.7501765963953847,0.005233275444861802,42,-0.021229254582653456,175.24539462709708,1.3137021503701468e-05,-0.0016504604717041405,0.3528764652382172,0.3541719437198609,0.3554670930759817,0.03295385856584658,0.2738673401499766,0.7119310086049805,0.6894754052899522,0.8087780745521729,0.663365598335705,0.7183875216957027
0.42370028883389166,5427.931073218166,0.7484660587240999,0.005361625146399336,43,-0.00016172837606925894,75.44778887791381,0.00012834970153753449,0.0017105376712848175,0.6242900649415695,0.2487083678226355,0.39982274517633387,0.32196171028910947,0.39869572205741205,0.7118501444169458,0.7474699431312263,0.8308332229845361,0.7070433616767309,0.7492991680523597
0.424962849758079,5372.893393815593,0.7545495239189631,0.005552691023579028,44,0.0012625609241873614,-55.037679402572394,0.00019106587717969154,-0.006083465194863247,0.6426392285885478,0.11081463796632904,0.29696399164766607,0.4792835188375779,0.3824253442600302,0.7124814248790395,0.7051640673954461,0.7523948874201134,0.7720636154523861,0.7355259987867463
